text	pos	etype	erate	source	error	word	eword	epos	label
100	1	real	10	cnn	0	Two	Two	3	NA
100	2	real	10	cnn	0	passengers	passengers	10	NA
100	3	real	10	cnn	0	found	found	5	NA
100	4	real	10	cnn	0	dead	dead	4	NA
100	5	real	10	cnn	0	on	on	2	NA
100	6	real	10	cnn	0	a	a	1	NA
100	7	real	10	cnn	0	cruise	cruise	6	NA
100	8	real	10	cnn	0	ship	ship	4	NA
100	9	real	10	cnn	1	in	im	1	keyboard
100	10	real	10	cnn	0	Puerto	Puerto	6	NA
100	11	real	10	cnn	0	Rico	Rico	4	NA
100	12	real	10	cnn	1	appear	appeard	6	insert
100	13	real	10	cnn	0	to	to	2	NA
100	14	real	10	cnn	1	have	heve	1	swap_repeat
100	15	real	10	cnn	0	died	died	4	NA
100	16	real	10	cnn	0	in	in	2	NA
100	17	real	10	cnn	0	a	a	1	NA
100	18	real	10	cnn	0	murder-suicide,	murder-suicide,	15	NA
100	19	real	10	cnn	0	the	the	3	NA
100	20	real	10	cnn	0	cruise	cruise	6	NA
100	21	real	10	cnn	0	line	line	4	NA
100	22	real	10	cnn	0	said.	said.	5	NA
100	23	real	10	cnn	0	Holland	Holland	7	NA
100	24	real	10	cnn	0	America	America	7	NA
100	25	real	10	cnn	0	Line	Line	4	NA
100	26	real	10	cnn	0	said	said	4	NA
100	27	real	10	cnn	1	two	tpw	1	keyboard
100	28	real	10	cnn	0	guests	guests	6	NA
100	29	real	10	cnn	0	were	were	4	NA
100	30	real	10	cnn	1	found	fouded	3	other_err
100	31	real	10	cnn	1	dead	dad	1	phonetics
100	32	real	10	cnn	0	inside	inside	6	NA
100	33	real	10	cnn	0	their	their	5	NA
100	34	real	10	cnn	0	stateroom	stateroom	9	NA
100	35	real	10	cnn	0	on	on	2	NA
100	36	real	10	cnn	0	the	the	3	NA
100	37	real	10	cnn	0	ms	ms	2	NA
100	38	real	10	cnn	0	Ryndam	Ryndam	6	NA
100	39	real	10	cnn	0	at	at	2	NA
100	40	real	10	cnn	0	11:30	11:30	5	NA
100	41	real	10	cnn	0	a.m.	a.m.	4	NA
100	42	real	10	cnn	0	Thursday.	Thursday.	9	NA
100	43	real	10	cnn	0	"The	"The	4	NA
100	44	real	10	cnn	0	cabin	cabin	5	NA
100	45	real	10	cnn	0	was	was	3	NA
100	46	real	10	cnn	0	immediately	immediately	11	NA
100	47	real	10	cnn	0	secured,	secured,	8	NA
100	48	real	10	cnn	1	and	anr	2	keyboard
100	49	real	10	cnn	0	the	the	3	NA
100	50	real	10	cnn	0	authorities	authorities	11	NA
100	51	real	10	cnn	1	were	we're	2	phonetics
100	52	real	10	cnn	0	notified,	notified,	9	NA
100	53	real	10	cnn	0	including	including	9	NA
100	54	real	10	cnn	1	the	tha	2	phonetics
100	55	real	10	cnn	0	FBI,"	FBI,"	5	NA
100	56	real	10	cnn	0	Holland	Holland	7	NA
100	57	real	10	cnn	0	America	America	7	NA
100	58	real	10	cnn	0	said.	said.	5	NA
100	59	real	10	cnn	0	"We	"We	3	NA
100	60	real	10	cnn	0	are	are	3	NA
100	61	real	10	cnn	0	cooperating	cooperating	11	NA
100	62	real	10	cnn	0	fully	fully	5	NA
100	63	real	10	cnn	1	with	withe	4	phonetics
100	64	real	10	cnn	0	the	the	3	NA
100	65	real	10	cnn	0	investigation,	investigation,	14	NA
100	66	real	10	cnn	0	and	and	3	NA
100	67	real	10	cnn	0	the	the	3	NA
100	68	real	10	cnn	0	authorities	authorities	11	NA
100	69	real	10	cnn	0	will	will	4	NA
100	70	real	10	cnn	1	make	mae	2	delete
100	71	real	10	cnn	0	the	the	3	NA
100	72	real	10	cnn	0	official	official	8	NA
100	73	real	10	cnn	0	determination	determination	13	NA
100	74	real	10	cnn	1	on	ou	1	delete
100	75	real	10	cnn	0	what	what	4	NA
100	76	real	10	cnn	0	occurred."	occurred."	10	NA
100	77	real	10	cnn	0	FBI	FBI	3	NA
100	78	real	10	cnn	0	spokesman	spokesman	9	NA
100	79	real	10	cnn	0	Moises	Moises	6	NA
100	80	real	10	cnn	0	Quinones	Quinones	8	NA
100	81	real	10	cnn	0	said	said	4	NA
100	82	real	10	cnn	1	authorities	autorities	3	delete
100	83	real	10	cnn	0	were	were	4	NA
100	84	real	10	cnn	0	on	on	2	NA
100	85	real	10	cnn	0	scene	scene	5	NA
100	86	real	10	cnn	0	investigating.	investigating.	14	NA
100	87	real	10	cnn	0	The	The	3	NA
100	88	real	10	cnn	0	ship	ship	4	NA
100	89	real	10	cnn	0	left	left	4	NA
100	90	real	10	cnn	0	Tampa,	Tampa,	6	NA
100	91	real	10	cnn	0	Florida,	Florida,	8	NA
100	92	real	10	cnn	0	on	on	2	NA
100	93	real	10	cnn	0	March	March	5	NA
100	94	real	10	cnn	0	29	29	2	NA
100	95	real	10	cnn	0	on	on	2	NA
100	96	real	10	cnn	0	a	a	1	NA
100	97	real	10	cnn	0	14-day	14-day	6	NA
100	98	real	10	cnn	0	Southern	Southern	8	NA
100	99	real	10	cnn	0	Caribbean	Caribbean	9	NA
100	100	real	10	cnn	0	cruise.	cruise.	7	NA
100	101	real	10	cnn	0	It's	It's	4	NA
100	102	real	10	cnn	1	currently	currantly	4	phonetics
100	103	real	10	cnn	0	in	in	2	NA
100	104	real	10	cnn	0	San	San	3	NA
100	105	real	10	cnn	0	Juan,	Juan,	5	NA
100	106	real	10	cnn	0	Puerto	Puerto	6	NA
100	107	real	10	cnn	0	Rico.	Rico.	5	NA
100	108	real	10	cnn	0	Puerto	Puerto	6	NA
100	109	real	10	cnn	0	Rico	Rico	4	NA
100	110	real	10	cnn	0	Port	Port	4	NA
100	111	real	10	cnn	0	Authority	Authority	9	NA
100	112	real	10	cnn	0	spokesman	spokesman	9	NA
100	113	real	10	cnn	0	Efrain	Efrain	6	NA
100	114	real	10	cnn	0	Santiago	Santiago	8	NA
100	115	real	10	cnn	0	told	told	4	NA
100	116	real	10	cnn	1	El	el	0	caps
100	117	real	10	cnn	0	Nuevo	Nuevo	5	NA
100	118	real	10	cnn	0	Dia	Dia	3	NA
100	119	real	10	cnn	1	newspaper	newsaper	4	delete
100	120	real	10	cnn	0	that	that	4	NA
100	121	real	10	cnn	0	the	the	3	NA
100	122	real	10	cnn	0	cleaning	cleaning	8	NA
100	123	real	10	cnn	0	staff	staff	5	NA
100	124	real	10	cnn	0	on	on	2	NA
100	125	real	10	cnn	0	the	the	3	NA
100	126	real	10	cnn	0	ship	ship	4	NA
100	127	real	10	cnn	0	had	had	3	NA
100	128	real	10	cnn	1	discovered	dicoverd	2	other_err
100	129	real	10	cnn	0	the	the	3	NA
100	130	real	10	cnn	0	deceased	deceased	8	NA
100	131	real	10	cnn	0	passengers	passengers	10	NA
100	132	real	10	cnn	0	after	after	5	NA
100	133	real	10	cnn	0	knocking	knocking	8	NA
100	134	real	10	cnn	0	on	on	2	NA
100	135	real	10	cnn	0	the	the	3	NA
100	136	real	10	cnn	0	cabin's	cabin's	7	NA
100	137	real	10	cnn	0	door.	door.	5	NA
200	1	real	10	cnn	0	Sabra	Sabra	5	NA
200	2	real	10	cnn	0	Dipping	Dipping	7	NA
200	3	real	10	cnn	0	Co.	Co.	3	NA
200	4	real	10	cnn	0	is	is	2	NA
200	5	real	10	cnn	0	recalling	recalling	9	NA
200	6	real	10	cnn	0	30,000	30,000	6	NA
200	7	real	10	cnn	0	cases	cases	5	NA
200	8	real	10	cnn	0	of	of	2	NA
200	9	real	10	cnn	0	hummus	hummus	6	NA
200	10	real	10	cnn	0	due	due	3	NA
200	11	real	10	cnn	0	to	to	2	NA
200	12	real	10	cnn	0	possible	possible	8	NA
200	13	real	10	cnn	0	contamination	contamination	13	NA
200	14	real	10	cnn	0	with	with	4	NA
200	15	real	10	cnn	0	Listeria,	Listeria,	9	NA
200	16	real	10	cnn	0	the	the	3	NA
200	17	real	10	cnn	0	U.S.	U.S.	4	NA
200	18	real	10	cnn	0	Food	Food	4	NA
200	19	real	10	cnn	0	and	and	3	NA
200	20	real	10	cnn	1	Drug	Drag	2	phonetics
200	21	real	10	cnn	0	Administration	Administration	14	NA
200	22	real	10	cnn	0	said	said	4	NA
200	23	real	10	cnn	0	Wednesday.	Wednesday.	10	NA
200	24	real	10	cnn	1	The	Ihe	0	delete
200	25	real	10	cnn	0	nationwide	nationwide	10	NA
200	26	real	10	cnn	0	recall	recall	6	NA
200	27	real	10	cnn	0	is	is	2	NA
200	28	real	10	cnn	0	voluntary.	voluntary.	10	NA
200	29	real	10	cnn	0	So	So	2	NA
200	30	real	10	cnn	0	far,	far,	4	NA
200	31	real	10	cnn	1	no	NO	0	caps
200	32	real	10	cnn	1	illnesses	illnes	6	phonetics
200	33	real	10	cnn	0	caused	caused	6	NA
200	34	real	10	cnn	0	by	by	2	NA
200	35	real	10	cnn	0	the	the	3	NA
200	36	real	10	cnn	0	hummus	hummus	6	NA
