NA,word,eword
NA,Two,Two
NA,passengers,passengers
NA,found,found
NA,dead,dead
NA,on,on
NA,a,a
NA,cruise,cruise
NA,ship,ship
keyboard,in,im
NA,Puerto,Puerto
NA,Rico,Rico
insert,appear,appeard
NA,to,to
swap_repeat,have,heve
NA,died,died
NA,in,in
NA,a,a
NA,murder-suicide,,murder-suicide,
NA,the,the
NA,cruise,cruise
NA,line,line
NA,said.,said.
NA,Holland,Holland
NA,America,America
NA,Line,Line
NA,said,said
keyboard,two,tpw
NA,guests,guests
NA,were,were
other_err,found,fouded
phonetics,dead,dad
NA,inside,inside
NA,their,their
NA,stateroom,stateroom
NA,on,on
NA,the,the
NA,ms,ms
NA,Ryndam,Ryndam
NA,at,at
NA,11:30,11:30
NA,a.m.,a.m.
NA,Thursday.,Thursday.
NA,"The,"The
NA,cabin,cabin
NA,was,was
NA,immediately,immediately
NA,secured,,secured,
keyboard,and,anr
NA,the,the
NA,authorities,authorities
phonetics,were,we're
NA,notified,,notified,
NA,including,including
phonetics,the,tha
NA,FBI,",FBI,"
NA,Holland,Holland
NA,America,America
NA,said.,said.
NA,"We,"We
NA,are,are
NA,cooperating,cooperating
NA,fully,fully
phonetics,with,withe
NA,the,the
NA,investigation,,investigation,
NA,and,and
NA,the,the
NA,authorities,authorities
NA,will,will
delete,make,mae
NA,the,the
NA,official,official
NA,determination,determination
delete,on,ou
NA,what,what
NA,occurred.",occurred."
NA,FBI,FBI
NA,spokesman,spokesman
NA,Moises,Moises
NA,Quinones,Quinones
NA,said,said
delete,authorities,autorities
NA,were,were
NA,on,on
NA,scene,scene
NA,investigating.,investigating.
NA,The,The
NA,ship,ship
NA,left,left
NA,Tampa,,Tampa,
NA,Florida,,Florida,
NA,on,on
NA,March,March
NA,29,29
NA,on,on
NA,a,a
NA,14-day,14-day
NA,Southern,Southern
NA,Caribbean,Caribbean
NA,cruise.,cruise.
NA,It's,It's
phonetics,currently,currantly
NA,in,in
NA,San,San
NA,Juan,,Juan,
NA,Puerto,Puerto
NA,Rico.,Rico.
NA,Puerto,Puerto
NA,Rico,Rico
NA,Port,Port
NA,Authority,Authority
NA,spokesman,spokesman
NA,Efrain,Efrain
NA,Santiago,Santiago
NA,told,told
caps,El,el
NA,Nuevo,Nuevo
NA,Dia,Dia
delete,newspaper,newsaper
NA,that,that
NA,the,the
NA,cleaning,cleaning
NA,staff,staff
NA,on,on
NA,the,the
NA,ship,ship
NA,had,had
other_err,discovered,dicoverd
NA,the,the
NA,deceased,deceased
NA,passengers,passengers
NA,after,after
NA,knocking,knocking
NA,on,on
NA,the,the
NA,cabin's,cabin's
NA,door.,door.
NA,Sabra,Sabra
NA,Dipping,Dipping
NA,Co.,Co.
NA,is,is
NA,recalling,recalling
NA,30,000,30,000
NA,cases,cases
NA,of,of
NA,hummus,hummus
NA,due,due
NA,to,to
NA,possible,possible
NA,contamination,contamination
NA,with,with
NA,Listeria,,Listeria,
NA,the,the
NA,U.S.,U.S.
NA,Food,Food
NA,and,and
phonetics,drug,drag
NA,Administration,Administration
NA,said,said
NA,Wednesday.,Wednesday.
delete,the,ihe
NA,nationwide,nationwide
NA,recall,recall
NA,is,is
NA,voluntary.,voluntary.
NA,So,So
NA,far,,far,
caps,no,NO
phonetics,illnesses,illnes
NA,caused,caused
NA,by,by
NA,the,the
NA,hummus,hummus
NA,have,have
NA,been,been
NA,reported.,reported.
NA,The,The
NA,potential,potential
NA,for,for
delete,contamination,cotamination
NA,was,was
NA,discovered,discovered
NA,when,when
delete,a,g
NA,routine,,routine,
NA,random,random
NA,sample,sample
NA,collected,collected
NA,at,at
insert,a,as
NA,Michigan,Michigan
delete,store,sore
NA,on,on
NA,March,March
NA,30,30
NA,tested,tested
NA,positive,positive
NA,for,for
NA,Listeria,Listeria
NA,monocytogenes.,monocytogenes.
other_real,The,them
NA,FDA,FDA
NA,issued,issued
NA,a,a
NA,list,list
NA,of,of
NA,the,the
phonetics,products,producs
NA,in,in
NA,the,the
NA,recall.,recall.
NA,Anyone,Anyone
NA,who,who
other_real,has,have
NA,purchased,purchased
NA,any,any
NA,of,of
NA,the,the
NA,items,items
NA,is,is
NA,urged,urged
NA,to,to
NA,dispose,dispose
NA,of,of
NA,or,or
NA,return,return
NA,it,it
NA,to,to
NA,the,the
NA,store,store
NA,for,for
NA,a,a
NA,full,full
NA,refund.,refund.
NA,Listeria,Listeria
NA,monocytogenes,monocytogenes
NA,can,can
NA,cause,cause
NA,serious,serious
NA,and,and
NA,sometimes,sometimes
NA,fatal,fatal
phonetics,infections,infectons
NA,in,in
NA,young,young
