NA,word,eword
swap_repeat,Two,Tow
phonetics,passengers,pasingers
other_err,found,founded
swap_repeat,dead,daed
keyboard,on,om
other_real,a,de
phonetics,cruise,cruse
keyboard,ship,chip
caps,in,In
NA,Puerto,Puerto
NA,Rico,Rico
insert,appear,appeard
NA,to,to
swap_repeat,have,heve
NA,died,died
keyboard,in,im
other_real,a,de
NA,murder-suicide,,murder-suicide,
insert,the,athe
phonetics,cruise,cruse
NA,line,line
NA,said.,said.
phonetics,Holland,Holand
phonetics,America,American
phonetics,Line,Lin
swap_repeat,said,siad
keyboard,two,tpw
phonetics,guests,guasts
phonetics,were,where
insert,found,fonund
NA,dead,dead
NA,inside,inside
NA,their,their
NA,stateroom,stateroom
delete,on,jn
keyboard,the,ths
NA,ms,ms
NA,Ryndam,Ryndam
keyboard,at,ay
NA,11:30,11:30
NA,a.m.,a.m.
NA,Thursday.,Thursday.
NA,"The,"The
other_real,cabin,Captain
NA,was,was
phonetics,immediately,imediately
NA,secured,,secured,
other_real,and,am
other_real,the,el
delete,authorities,autorities
NA,were,were
NA,notified,,notified,
phonetics,including,incluiding
NA,the,the
NA,FBI,",FBI,"
caps,Holland,holland
NA,America,America
NA,said.,said.
NA,"We,"We
NA,are,are
NA,cooperating,cooperating
NA,fully,fully
NA,with,with
other_err,the,theath
NA,investigation,,investigation,
delete,and,anb
other_real,the,d
delete,authorities,autorities
NA,will,will
NA,make,make
NA,the,the
phonetics,official,ufficial
NA,determination,determination
other_err,on,onteh
keyboard,what,whar
NA,occurred.",occurred."
NA,FBI,FBI
NA,spokesman,spokesman
NA,Moises,Moises
NA,Quinones,Quinones
swap_repeat,said,siad
delete,authorities,autorities
delete,were,vere
delete,on,os
NA,scene,scene
NA,investigating.,investigating.
phonetics,the,tho
NA,ship,ship
swap_repeat,left,lefe
NA,Tampa,,Tampa,
NA,Florida,,Florida,
phonetics,on,oon
keyboard,march,match
NA,29,29
NA,on,on
phonetics,a,o
NA,14-day,14-day
NA,Southern,Southern
phonetics,Caribbean,Caribeen
NA,cruise.,cruise.
phonetics,It's,It''s
swap_repeat,currently,curenntly
NA,in,in
caps,San,san
NA,Juan,,Juan,
caps,Puerto,puerto
NA,Rico.,Rico.
caps,Puerto,puerto
NA,Rico,Rico
NA,Port,Port
NA,Authority,Authority
NA,spokesman,spokesman
NA,Efrain,Efrain
delete,santiago,saltiago
phonetics,told,talled
NA,El,El
NA,Nuevo,Nuevo
NA,Dia,Dia
delete,newspaper,newsaper
swap_repeat,that,taht
phonetics,the,tthe
NA,cleaning,cleaning
swap_repeat,staff,stafs
phonetics,on,ona
NA,the,the
phonetics,ship,sheep
other_real,had,have
phonetics,discovered,discoverd
insert,the,thet
NA,deceased,deceased
other_err,passengers,passagers
NA,after,after
phonetics,knocking,nocking
NA,on,on
delete,the,he
NA,cabin's,cabin's
NA,door.,door.
NA,Sabra,Sabra
NA,Dipping,Dipping
NA,Co.,Co.
other_err,is,é
NA,recalling,recalling
NA,30,000,30,000
phonetics,cases,casses
phonetics,of,off
NA,hummus,hummus
keyboard,due,dur
other_err,to,por
delete,possible,possibe
delete,contamination,cotamination
other_err,with,wift
NA,Listeria,,Listeria,
other_real,the,DE
phonetics,U.S.,u.s
NA,Food,Food
delete,and,ang
phonetics,drug,drag
phonetics,Administration,Administation
phonetics,said,sayed
NA,Wednesday.,Wednesday.
other_real,The,them
NA,nationwide,nationwide
NA,recall,recall
other_err,is,é
NA,voluntary.,voluntary.
phonetics,So,Soo
NA,far,,far,
caps,no,NO
phonetics,illnesses,illnes
NA,caused,caused
phonetics,by,bye
NA,the,the
NA,hummus,hummus
swap_repeat,have,heve
NA,been,been
NA,reported.,reported.
caps,The,THe
NA,potential,potential
keyboard,for,fpr
NA,contamination,contamination
phonetics,was,wass
NA,discovered,discovered
other_err,when,[[whe
phonetics,a,e
NA,routine,,routine,
NA,random,random
NA,sample,sample
NA,collected,collected
keyboard,at,ay
NA,a,a
NA,Michigan,Michigan
delete,store,sore
delete,on,or
delete,March,Marh
NA,30,30
NA,tested,tested
phonetics,positive,possitive
keyboard,for,vor
NA,Listeria,Listeria
NA,monocytogenes.,monocytogenes.
insert,The,Ther
NA,FDA,FDA
NA,issued,issued
keyboard,a,s
phonetics,list,liste
NA,of,of
keyboard,the,ghe
NA,products,products
caps,in,In
NA,the,the
NA,recall.,recall.
NA,Anyone,Anyone
NA,who,who
delete,has,hat
swap_repeat,purchased,purchesed
phonetics,any,eny
phonetics,of,aof
